Key,zh,en,es
SHOP_NPC_TALK_PLANT_SUNPAD_CUSTOM_0,骄阳睡莲的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_WILDPEA_CUSTOM_0,狂野机枪射手的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_QUEENSUNFLOWER_CUSTOM_0,向日葵女王的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_ICETALLNUT_CUSTOM_0,高冰果的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_HAMBURGER_CUSTOM_0,汉堡射手的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_FIRETALLNUT_CUSTOM_0,冰炬高坚果的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_MAGNETMINE_CUSTOM_0,磁力土豆雷的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_PEAWELL_CUSTOM_0,豌豆许愿池的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_ICESQUASH_CUSTOM_0,冰菇窝瓜的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_HOTDOG_CUSTOM_0,热狗射手的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_DOOMCOBCANNON_CUSTOM_0,毁灭加农炮的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_HYPNODOOMSHROOM_CUSTOM_0,魅惑毁灭菇的皮肤！你可以在图鉴装扮你的植物！,,
SHOP_NPC_TALK_PLANT_HYPNOSHROOMSHOOTER_CUSTOM_0,魅惑菇射手的皮肤！你可以在图鉴装扮你的植物！,,

SHOP_NPC_TALK_PLANT_FIRETALLNUT,把这张紫卡种在你的火炬坚果/冰炬树桩上，把它升级成冰炬高坚果！,,
SHOP_NPC_TALK_PLANT_ICESUNMINE,把这张紫卡种在你的阳光土豆雷上，把它升级成寒光土豆雷！,,
SHOP_NPC_TALK_PLANT_ICEAPEARPEA,把这张紫卡种在你的寒冰射手上，把它升级成冰锥射手！,,
SHOP_NPC_TALK_PLANT_TWINSUNSHROOM,把这张紫卡种在你的阳光向日葵上，把它升级成双子阳光向日葵！,,
SHOP_NPC_TALK_PLANT_GATLINGCAT,把这张紫卡种在你的豌豆香蒲上，把它升级成机枪香蒲！,,
SHOP_NPC_TALK_PLANT_THREECATUS,把这张紫卡种在你的双发仙人掌上，把它升级成三叶仙人掌！,,
SHOP_NPC_TALK_PLANT_PUMPKINFIREICE,把这张紫卡种在你的火焰南瓜壳上，把它升级成冰焰南瓜壳！,,
SHOP_NPC_TALK_PLANT_HYPNOPATCH,把这张紫卡种在你的魅惑菇上，把它升级成魅惑菇丛！,,

SHOP_ITEM_PACKETSLOT_8,8槽,,
SHOP_ITEM_PACKETSLOT_9,9槽,,
SHOP_ITEM_PACKETSLOT_10,10槽,,
SHOP_ITEM_PACKETSLOT_11,11槽,,
SHOP_ITEM_PACKETSLOT_12,12槽,,
SHOP_ITEM_PACKETSLOT_13,13槽,,
SHOP_ITEM_PACKETSLOT_14,14槽,,
SHOP_ITEM_PACKETSLOT_15,15槽,,
SHOP_ITEM_PACKETSLOT_16,16槽,,
SHOP_ITEM_PACKETSLOT_16,16槽,,
SHOP_ITEM_NUTBANDAGING,坚果包扎术,,
SHOP_ITEM_POYREPLACEMENT,花盆替换术,,
SHOP_ITEM_PITCHFORK,草耙,,
SHOP_PLANT_SUNSHROOM_CUSTOM_1,草耙,,

NPC_TALK_LEVEL1_1_TUTORIAL_1,你好，我的邻居。,,
NPC_TALK_LEVEL1_1_TUTORIAL_2,我听说了你的情况，所以赶来了。,,
NPC_TALK_LEVEL1_1_TUTORIAL_3,那帮僵尸还在源源不断地进攻，而你的植物却不知所踪？,,
NPC_TALK_LEVEL1_1_TUTORIAL_4,看来是埃德加那家伙在作怪。,,
NPC_TALK_LEVEL1_1_TUTORIAL_5,没关系！你的好邻居：疯狂戴夫，特此来帮助你了！,,
NPC_TALK_LEVEL1_1_TUTORIAL_6,我要给你看看我的压箱底的好东西...,,
NPC_TALK_LEVEL1_1_TUTORIAL_7,这些全新的——杂交植物！,,
NPC_TALK_LEVEL1_1_TUTORIAL_8,比如这株豌豆向日葵！集合生产和攻击，为你节省一倍的草坪空间！,,
NPC_TALK_LEVEL1_1_TUTORIAL_9,来，试着种植一下吧！,,

NPC_TALK_LEVEL1_2_TUTORIAL_1,豌豆向日葵好用吗，伙计？,,
NPC_TALK_LEVEL1_2_TUTORIAL_2,是时候来尝试更多的杂交植物了,,
NPC_TALK_LEVEL1_2_TUTORIAL_3,瞧瞧这个火炬坚果！能阻挡僵尸，还能点燃豌豆子弹！,,
NPC_TALK_LEVEL1_2_TUTORIAL_4,让僵尸们感受一下“热情”吧！,,

NPC_TALK_LEVEL1_5_TUTORIAL_1,哟，伙计，你刚刚获得了一把新的铲子！,,
NPC_TALK_LEVEL1_5_TUTORIAL_2,铲掉那几株豌豆向日葵试试吧，看看它有什么作用！,,
NPC_TALK_LEVEL1_5_TUTORIAL_3,喔，它返还了阳光！,,
NPC_TALK_LEVEL1_5_TUTORIAL_4,我猜你以后会遇见更多神奇的铲子！,,
NPC_TALK_LEVEL1_5_TUTORIAL_5,现在，打了好久僵尸，我们也该放松一下了。,,
NPC_TALK_LEVEL1_5_TUTORIAL_6,我们来玩保龄球吧！,,
NPC_TALK_LEVEL1_5_TUTORIAL_7,我会借给你更多的杂交坚果，你来试试看他们是否趁手！,,
NPC_TALK_LEVEL1_5_TUTORIAL_8,为什么我们要用杂交坚果打保龄球？,,
NPC_TALK_LEVEL1_5_TUTORIAL_9,因为我疯——掉啦！,,
NPC_TALK_LEVEL1_5_TUTORIAL_10,加油，给我赢个冠军回来！,,

NPC_TALK_LEVEL1_7_TUTORIAL_1,看起来马上就要天黑了。,,
NPC_TALK_LEVEL1_7_TUTORIAL_2,僵尸还是没有减少的迹象…,,
NPC_TALK_LEVEL1_7_TUTORIAL_3,但太阳已经快落山了！你获得的阳光也会变少！,,
NPC_TALK_LEVEL1_7_TUTORIAL_4,你或许应该试试更加专注于生产阳光的杂交植物！,,
NPC_TALK_LEVEL1_7_TUTORIAL_5,祝你好运，我们一会见！,,

NPC_TALK_LEVEL1_10_TUTORIAL_1,一个好消息，伙计！,,
NPC_TALK_LEVEL1_10_TUTORIAL_2,我刚刚在你的草坪上发现了一些植物！,,
NPC_TALK_LEVEL1_10_TUTORIAL_3,它们似乎记不清离开你之后发生的事情了…,,
NPC_TALK_LEVEL1_10_TUTORIAL_4,不过，它们仍然能在接下来的战斗中助你一臂之力！,,
NPC_TALK_LEVEL1_10_TUTORIAL_5,僵尸似乎准备在天黑前发起一波总攻。,,
NPC_TALK_LEVEL1_10_TUTORIAL_6,我们也做好120%的应对吧！传送带启动！,,

NPC_TALK_LEVEL1_11_TUTORIAL_1,天啦噜，伙计！你的草坪呢？！,,
NPC_TALK_LEVEL1_11_TUTORIAL_2,难道是蹦极僵尸把草皮掀走了？,,
NPC_TALK_LEVEL1_11_TUTORIAL_3,还是它们终于学会了使用小推车？......那太可怕了。,,
NPC_TALK_LEVEL1_11_TUTORIAL_4,不过别担心！虽然很多植物不能直接放在裸地上...,,
NPC_TALK_LEVEL1_11_TUTORIAL_5,...但地刺和花盆可以！,,
NPC_TALK_LEVEL1_11_TUTORIAL_6,喏，拿好这个豌豆花盆！,,
NPC_TALK_LEVEL1_11_TUTORIAL_7,让它们帮你教训僵尸吧！,,

NPC_TALK_LEVEL2_1_TUTORIAL_1,现在是黑夜了，伙计！,,
NPC_TALK_LEVEL2_1_TUTORIAL_2,这意味着你不能从天上获得阳光了！,,
NPC_TALK_LEVEL2_1_TUTORIAL_3,但这难不倒你，对吧？,,
NPC_TALK_LEVEL2_1_TUTORIAL_4,多多种植你获得的小盆菇吧！,,
NPC_TALK_LEVEL2_1_TUTORIAL_5,还有什么比免费更便宜呢？祝你好运！,,

NPC_TALK_LEVEL3_1_TUTORIAL_1,看来僵尸们的思考回路没有多大变化。,,
NPC_TALK_LEVEL3_1_TUTORIAL_2,瞧见那些泳圈了吗？你的后院看样子要热闹起来了。,,
NPC_TALK_LEVEL3_1_TUTORIAL_3,不过没关系！在杂交植物的帮助下，僵尸想闯进来可没那么容易！,,
NPC_TALK_LEVEL3_1_TUTORIAL_4,放轻松，像以前一样打飞那帮僵尸的脑袋吧！,,

NPC_TALK_LEVEL3_5_TUTORIAL_1,下雨了？我不喜欢这种潮湿的天气。,,
NPC_TALK_LEVEL3_5_TUTORIAL_2,感觉我的帽子都要生锈了！,,
NPC_TALK_LEVEL3_5_TUTORIAL_3,等等？天上掉下来的这是什么？,,
NPC_TALK_LEVEL3_5_TUTORIAL_4,为什么杂交植物的种子会和雨水一起掉下来？,,
NPC_TALK_LEVEL3_5_TUTORIAL_5,哈哈，不管怎么说这可是天降馅饼了！,,
NPC_TALK_LEVEL3_5_TUTORIAL_6,我收回那句话，这雨可太棒了！,,

NPC_TALK_LEVEL3_11_TUTORIAL_1,夏天果然还是要玩水，对吧？,,
NPC_TALK_LEVEL3_11_TUTORIAL_2,这是镇上最大的露天泳池，而且跟咱们只有几条街的距离！,,
NPC_TALK_LEVEL3_11_TUTORIAL_3,太赞了！我每年夏天都会来这晒日光浴！,,
NPC_TALK_LEVEL3_11_TUTORIAL_4,唉，可惜，听说这里最近被僵尸侵占了。,,
NPC_TALK_LEVEL3_11_TUTORIAL_5,所以我把你拉来了，我们的僵尸对抗专家！,,
NPC_TALK_LEVEL3_11_TUTORIAL_6,拿上杂交植物，把这个泳池收复回来吧！,,

NPC_TALK_LEVEL4_1_TUTORIAL_1,你知道吗，已经好久没有人叫过我“迷雾男”了。,,
NPC_TALK_LEVEL4_1_TUTORIAL_2,不过外面看起来很不安分，我就不跳进那片迷雾了，哈哈。,,
NPC_TALK_LEVEL4_1_TUTORIAL_3,不知道以后 还有没有机会...,,

NPC_TALK_LEVEL4_5_TUTORIAL_1,真奇怪，我似乎闻到了某种不对劲的气息。,,
NPC_TALK_LEVEL4_5_TUTORIAL_2,我很确定那不是我刚刚吃下去的晚饭的味道。,,
NPC_TALK_LEVEL4_5_TUTORIAL_3,我的鼻子一向很灵！,,
NPC_TALK_LEVEL4_5_TUTORIAL_4,伙计，你看到或听到什么奇怪的东西了吗？,,
NPC_TALK_LEVEL4_5_TUTORIAL_5,你最好在后院种上植物防守家门。它们的感觉比我们灵敏多了！,,
NPC_TALK_LEVEL4_5_TUTORIAL_6,不管来的是什么…我确信有东西来了，但杂交植物一定能赶跑它们！,,

NPC_TALK_LEVEL4_9_TUTORIAL_1,喔，我的邻居！那是什么？你获得了玉米卷？......香蒲？！,,
NPC_TALK_LEVEL4_9_TUTORIAL_2,我真怀念玉米卷的味道…我已经很久没吃过了！,,
NPC_TALK_LEVEL4_9_TUTORIAL_3,如果你找到了真的玉米卷，请一定要卖给我！,,
NPC_TALK_LEVEL4_9_TUTORIAL_4,继续守卫后院吧，祝你好运！,,

NPC_TALK_LEVEL5_1_TUTORIAL_1,屋顶的光线真好！,,
NPC_TALK_LEVEL5_1_TUTORIAL_2,那些僵尸果然不会放弃从这里进攻。,,
NPC_TALK_LEVEL5_1_TUTORIAL_3,来，我还有一些普通花盆的存货...,,
NPC_TALK_LEVEL5_1_TUTORIAL_4,暂时借你用用！,,
NPC_TALK_LEVEL5_1_TUTORIAL_5,你也可以自己使用功能更强的杂交花盆！,,

NPC_TALK_LEVEL5_5_TUTORIAL_1,我们又走到这一步了…我有种不详的既视感。,,
NPC_TALK_LEVEL5_5_TUTORIAL_2,伙计，你听到头顶传来的声音了吗？,,
NPC_TALK_LEVEL5_5_TUTORIAL_3,那种尖锐的喊叫声……,,
NPC_TALK_LEVEL5_5_TUTORIAL_4,哦不，是那群可恶的蹦极僵尸！,,
NPC_TALK_LEVEL5_5_TUTORIAL_5,我最讨厌的家伙！他们甚至带了空投部队！,,
NPC_TALK_LEVEL5_5_TUTORIAL_6,用传送带的植物把他们打回去吧！我先闪了！,,

NPC_TALK_LEVEL5_11_TUTORIAL_1,僵尸的战术似乎越来越多变了。,,
NPC_TALK_LEVEL5_11_TUTORIAL_2,它们准备从你另一侧的邻居前院翻过来，偷袭你的房子！,,
NPC_TALK_LEVEL5_11_TUTORIAL_3,这家早就搬走了，我们就在这个院子阻击这帮僵尸吧！,,
NPC_TALK_LEVEL5_11_TUTORIAL_4,我还记得原本住在这的小约翰，他说自己是个艺术家……,,
NPC_TALK_LEVEL5_11_TUTORIAL_5,嗯，这院子装修的果然很艺术。,,
NPC_TALK_LEVEL5_11_TUTORIAL_6,艺术到我都看不懂了！,,

LEVEL1_1_TUTORIAL_1,点击卡槽中的植物，然后点击草坪种植！,,
LEVEL1_1_TUTORIAL_2,干得漂亮！点击收集掉落的阳光！,,
LEVEL1_1_TUTORIAL_3,继续种植豌豆向日葵，抵挡僵尸的进攻吧！,,

LEVEL1_2_TUTORIAL_1,请先种植豌豆向日葵，以获取足够的阳光！,,
LEVEL1_2_TUTORIAL_2,请至少种植3株豌豆向日葵！,,

LEVEL1_5_BROADCAST_1,一直挖吧，直到你的场地上没有植物！,,

LEVEL1_7_BROADCAST_1,现在是傍晚，天上掉落的阳光更小了！,,

LEVEL2_7_BROADCAST_1,现在是凌晨，墓碑变少了！天上开始掉落小阳光了！,,

INGAME_ROCK,一起摇滚吧!,LET'S ROCK!,LET'S ROCK!
INGAME_RESELECT,重选上次卡片,RESELECT LAST CARD,RESELECT LAST CARD
INGAME_VIEW,查看草坪,VIEW GRASS,VIEW GRASS
INGAME_DIFFICULT,难度:%s,Difficulty:%s,Difficulty:%s
INGAME_VIEW_BACK,点击任意位置返回,CLICK ANYWHERE TO RETURN,CLICK ANYWHERE TO RETURN

PLAYERS_TRIP_TO_MODERN,{UserName}的房子,{UserName}'s House,{UserName}'s House
PLAYERS_MORDEN_LEVEL_NAME,前院告急1 - {LevelNumber},Front Yard 1 - {LevelNumber},Front Yard 1 - {LevelNumber}
PLAYERS_MORDEN_NIGHT_LEVEL_NAME,夜幕降临2 - {LevelNumber},Nightfall 2 - {LevelNumber},Nightfall 2 - {LevelNumber}
PLAYERS_MORDEN_BACKYARD_LEVEL_NAME,泳池防守3 - {LevelNumber},Swimming Pool Defense 3 - {LevelNumber},Swimming Pool Defense 3 - {LevelNumber}
PLAYERS_MORDEN_BACKYARD_NIGHT_LEVEL_NAME,穿越迷雾4 - {LevelNumber},Crossover Fog 4 - {LevelNumber},Crossover Fog 4 - {LevelNumber}
PLAYERS_MORDEN_ROOF_LEVEL_NAME,屋顶大战5 - {LevelNumber},Roof Battle 5 - {LevelNumber},Roof Battle 5 - {LevelNumber}

CHALLENGE_LEVEL_NAME_1,向日葵女王 挑战 - {LevelNumber},,
CHALLENGE_LEVEL_NAME_2,狂野机枪射手 挑战 - {LevelNumber},,
CHALLENGE_LEVEL_NAME_3,高冰果 挑战 - {LevelNumber},,
CHALLENGE_LEVEL_NAME_4,汉堡射手 挑战 - {LevelNumber},,
CHALLENGE_LEVEL_NAME_5,热狗射手 挑战 - {LevelNumber},,
CHALLENGE_LEVEL_NAME_6,毁灭加农炮 挑战 - {LevelNumber},,

CHALLENGE_LEVEL_DIALMONDNAME_1,魅惑菇射手 挑战 - {LevelNumber},,
CHALLENGE_LEVEL_DIALMONDNAME_2,魅惑毁灭菇 挑战 - {LevelNumber},,

MAP_FRONTLAWN,前院(白天),Front Yard (Day),Front Yard (Day)
MAP_FRONTLAWN_NIGHT,前院(夜晚),Front Yard (Night),Front Yard (Night)
MAP_FRONTLAWN_AFTERNOON,前院(黄昏),Front Yard (Afternoon),Front Yard (Afternoon)
MAP_FRONTLAWN_BIG,前院(白天大地图),"Front Yard (Day,Big Map)","Front Yard (Day,Big Map)"
MAP_FRONTLAWN_NIGHT_BIG,前院(夜晚大地图),"Front Yard (Night,Big Map)","Front Yard (Night,Big Map)"
MAP_FRONTLAWN_COLD,前院(冬),Front Yard (Winter),Front Yard (Winter)
MAP_FRONTLAWN_NIGHT_COLD,前院(冬夜),Front Yard (Winter Night),Front Yard (Winter Night)
MAP_FRONTLAWN_COLD_BIG,前院(冬大地图),"Front Yard (Winter,Big Map)","Front Yard (Winter,Big Map)"
MAP_FRONTLAWN_NIGHT_COLD_BIG,前院(冬夜大地图),"Front Yard (Winter Night,Big Map)","Front Yard (Winter Night,Big Map)"
MAP_FRONTLAWN_EMPTY,前院(白天裸地),"Front Yard (Day,Empty)","Front Yard (Day,Empty)"
MAP_FRONTLAWN_NIGHT_EMPTY,前院(夜晚裸地),"Front Yard (Night,Empty)","Front Yard (Night,Empty)"
MAP_FRONTLAWN_EMPTY_BIG,前院(白天裸地大地图),"Front Yard (Day,Empty,Big Map)","Front Yard (Day,Empty,Big Map)"
MAP_FRONTLAWN_NIGHT_EMPTY_BIG,前院(夜晚裸地大地图),"Front Yard (Night,Empty,Big Map)","Front Yard (Night,Empty,Big Map)"
MAP_FRONTLAWN_NIGHT_DEEP,前院(深夜),"Front Yard (Deep Night)","Front Yard (Deep Night)"
MAP_FRONTLAWN_THREEPART,前院(三分),"Front Yard (Three Part)","Front Yard (Three Part)"
MAP_FRONTLAWN_NIGHT_THREEPART,前院(夜晚三分),"Front Yard (Night,Three Part)","Front Yard (Night,Three Part)"

MAP_BACKYARD,后院(白天),Back Yard (Day),Back Yard (Day)
MAP_BACKYARD_NIGHT,后院(夜晚),Back Yard (Night),Back Yard (Night)
MAP_BACKYARD_FULL,后院(白天全泳池),"Back Yard (Day,Full Pool)","Back Yard (Day,Full Pool)"
MAP_BACKYARD_NIGHT_FULL,后院(夜晚全泳池),"Back Yard (Night,Full Pool)","Back Yard (Night,Full Pool)"

MAP_OUTSIDE_FRONTLAWN,外部前院,Outside Front Yard,Outside Front Yard
MAP_OUTSIDE_FRONTLAWN_NIGHT,外部前院(夜晚),Outside Front Yard Night,Outside Front Yard Night
MAP_OUTSIDE_BACKYARD,外部后院,Outside Back Yard,Outside Back Yard
MAP_OUTSIDE_BACKYARD_NIGHT,外部后院(夜晚),Outside Back Yard Night,Outside Back Yard Night

MAP_ROOF,屋顶,Roof,Roof
MAP_ROOF_NIGHT,屋顶(夜晚),Roof Night,Roof Night

MAP_HEAVEN,天堂,Heaven,Heaven

MAP_CHESS,跳棋棋盘,Chess,Chess

MAP_VAMPIRE,吸血鬼屋,Vampire,Vampire

BGM_FRONTLAWN,前院(白天),Front Yard,Front Yard
BGM_FRONTLAWN_NIGHT,前院(夜晚),Front Yard Night,Front Yard Night
BGM_BACKYARD,后院(白天),Back Yard,Back Yard
BGM_BACKYARD_NIGHT,后院(夜晚),Back Yard Night,Back Yard Night
BGM_ROOF,屋顶(白天),Roof,Roof
BGM_ROOF_NIGHT,屋顶(夜晚),Roof Night,Roof Night
BGM_CEREBRAW,解迷,Brain War,Brain War
BGM_LOONBOON,小游戏,Loonboon,Loonboon
BGM_ULTIMATE_BATTLE,传送带,Ultimate Battle,Ultimate Battle
BGM_FIREMODE,射击模式,FireMode,FireMode
LEVLE_EVENT_GRAVESTONE_CREATE_RANDOM,随机位置创建墓碑,GravestoneCreateRandom,GravestoneCreateRandom
LEVLE_EVENT_GRAVESTONE_SPAWN_ZOMBIE,墓碑产生僵尸,GravestoneSpawnZombie,GravestoneSpawnZombie
LEVLE_EVENT_CURRENTMAP_USE_STRIPE,使用当前地图限制红线,CurrentMapUseStripe,CurrentMapUseStripe
LEVLE_EVENT_CURRENTMAP_USE_WARNINGLINE,使用当前地图警戒线,CurrentMapUseWarningLine,CurrentMapUseWarningLine
LEVLE_EVENT_CURRENTMAP_CHARACTER_CLEAR,清除当前地图角色,CurrentMapCharacterClear,CurrentMapCharacterClear
LEVLE_EVENT_MAP_CHANGE,切换地图,MapChange,MapChange
LEVLE_EVENT_TIPS_PLAY,播放警告,TipsPlay,TipsPlay
LEVLE_EVENT_SET_GAME_MODE,设置游戏模式,SetGameMode,SetGameMode
LEVLE_EVENT_CREATE_PROTAL,创建传送门,CreateProtal,CreateProtal
LEVLE_EVENT_CHAGE_PROTAL_POS,改变传送门位置,ChangeProtalPos,ChangeProtalPos

TOWERDEFENSE,塔防,Defense,Defense
HAMMER,锤子,Hammer,Hammer

TOWERDEFENSE_READYSETPLANTS_READY,准备..,Ready..,Ready..
TOWERDEFENSE_READYSETPLANTS_SET,种植...,Set...,Set...
TOWERDEFENSE_READYSETPLANTS_PLANTS,植物!,PLANT!,PLANT!

TOWERDEFENSE_TIPS_HUGEWAVE,一大波僵尸正在接近!,A HUGE WAVE OF ZOMBIES IS APPROACHINE!,A HUGE WAVE OF ZOMBIES IS APPROACHINE!
TOWERDEFENSE_TIPS_FINALWAVE,最后一波,FINAL WAVE,FINAL WAVE

TOWERDEFENSE_TIPS_AFTERNOON,太阳开始下山了!,SUN IS GOING DOWN,SUN IS GOING DOWN
TOWERDEFENSE_TIPS_NIGHT,太阳落山了!,SUN IS GOING DOWN,SUN IS GOING DOWN
TOWERDEFENSE_TIPS_NIGHT_DEEP,太阳开始慢慢升起了！,SUN IS GOING UP,SUN IS GOING UP
TOWERDEFENSE_TIPS_DAY,天亮了！,SUN IS RISING,SUN IS RISING

TOWERDEFENSE_TIPS_GRAVSTONE_GROW,墓碑开始生长!,TOMBSTONE BEGINS TO GROW,TOMBSTONE BEGINS TO GROW
TOWERDEFENSE_TIPS_GRAVSTONE_LOOSEN,墓碑开始松动!,THE TOMBSTONE IS STARTING TO LOOSEN,THE TOMBSTONE IS STARTING TO LOOSEN

TOWERDEFENSE_SHOVEL_DEFAULT_NAME,铁铲,Iron Shovel,Iron Shovel
TOWERDEFENSE_SHOVEL_DEFAULT_EXPRESTION,移除植物，无特殊效果。,,
TOWERDEFENSE_SHOVEL_DEFAULT_HANDBOOK_EXPRESTION,特点：[color=cc241d]无[/color],,
TOWERDEFENSE_SHOVEL_DEFAULT_HANDBOOK_STORY,戴夫送你的小铲子！现在有了其他强力的铲子，它或许也可以放个假了。,,

